Timestamp,ID,X,Y,Z,Dist_From_Center
01:45:47.454,drone_1,-3210.0000,-3210.0000,150.0000,4542.1030
01:45:47.504,drone_1,-3205.0000,-3205.0000,150.0000,4535.0358
01:45:47.554,drone_1,-3200.0000,-3200.0000,150.0000,4527.9686
01:45:47.605,drone_1,-3195.0000,-3195.0000,150.0000,4520.9015
01:45:47.655,drone_1,-3190.0000,-3190.0000,150.0000,4513.8343
01:45:47.705,drone_1,-3185.0000,-3185.0000,150.0000,4506.7671
01:45:47.755,drone_1,-3180.0000,-3180.0000,150.0000,4499.7000
01:45:47.806,drone_1,-3175.0000,-3175.0000,150.0000,4492.6329
01:45:47.856,drone_1,-3170.0000,-3170.0000,150.0000,4485.5657
01:45:47.906,drone_1,-3165.0000,-3165.0000,150.0000,4478.4986
01:45:47.956,drone_1,-3160.0000,-3160.0000,150.0000,4471.4315
01:45:48.006,drone_1,-3155.0000,-3155.0000,150.0000,4464.3645
01:45:48.056,drone_1,-3150.0000,-3150.0000,150.0000,4457.2974
01:45:48.107,drone_1,-3145.0000,-3145.0000,150.0000,4450.2303
01:45:48.157,drone_1,-3140.0000,-3140.0000,150.0000,4443.1633
01:45:48.207,drone_1,-3135.0000,-3135.0000,150.0000,4436.0963
01:45:48.257,drone_1,-3130.0000,-3130.0000,150.0000,4429.0292
01:45:48.307,drone_1,-3125.0000,-3125.0000,150.0000,4421.9622
01:45:48.357,drone_1,-3120.0000,-3120.0000,150.0000,4414.8952
01:45:48.408,drone_1,-3115.0000,-3115.0000,150.0000,4407.8283
01:45:48.458,drone_1,-3110.0000,-3110.0000,150.0000,4400.7613
01:45:48.508,drone_1,-3105.0000,-3105.0000,150.0000,4393.6943
01:45:48.558,drone_1,-3100.0000,-3100.0000,150.0000,4386.6274
01:45:48.608,drone_1,-3095.0000,-3095.0000,150.0000,4379.5605
01:45:48.659,drone_1,-3090.0000,-3090.0000,150.0000,4372.4936
01:45:48.709,drone_1,-3085.0000,-3085.0000,150.0000,4365.4267
01:45:48.759,drone_1,-3080.0000,-3080.0000,150.0000,4358.3598
01:45:48.809,drone_1,-3075.0000,-3075.0000,150.0000,4351.2929
01:45:48.859,drone_1,-3070.0000,-3070.0000,150.0000,4344.2261
01:45:48.909,drone_1,-3065.0000,-3065.0000,150.0000,4337.1592
01:45:48.960,drone_1,-3060.0000,-3060.0000,150.0000,4330.0924
01:45:49.010,drone_1,-3055.0000,-3055.0000,150.0000,4323.0256
01:45:49.060,drone_1,-3050.0000,-3050.0000,150.0000,4315.9588
01:45:49.110,drone_1,-3045.0000,-3045.0000,150.0000,4308.8920
01:45:49.160,drone_1,-3040.0000,-3040.0000,150.0000,4301.8252
01:45:49.210,drone_1,-3035.0000,-3035.0000,150.0000,4294.7584
01:45:49.260,drone_1,-3030.0000,-3030.0000,150.0000,4287.6917
01:45:49.310,drone_1,-3025.0000,-3025.0000,150.0000,4280.6250
01:45:49.361,drone_1,-3020.0000,-3020.0000,150.0000,4273.5582
01:45:49.411,drone_1,-3015.0000,-3015.0000,150.0000,4266.4915
01:45:49.461,drone_1,-3010.0000,-3010.0000,150.0000,4259.4248
01:45:49.511,drone_1,-3005.0000,-3005.0000,150.0000,4252.3582
01:45:49.561,drone_1,-3000.0000,-3000.0000,150.0000,4245.2915
01:45:49.611,drone_1,-2995.0000,-2995.0000,150.0000,4238.2249
01:45:49.661,drone_1,-2990.0000,-2990.0000,150.0000,4231.1582
01:45:49.711,drone_1,-2985.0000,-2985.0000,150.0000,4224.0916
